COUNTRY,INCOMEPERPERSON,ALCCONSUMPTION,ARMEDFORCESRATE,BREASTCANCERPER100TH,CO2EMISSIONS,FEMALEEMPLOYRATE,HIVRATE,INTERNETUSERATE,LIFEEXPECTANCY,OILPERPERSON,POLITYSCORE,RELECTRICPERPERSON,SUICIDEPER100TH,EMPLOYRATE,urbanrate
Source: Tom Boden,,,,,,,,,,,,,,,
South Africa,3745.6498521,10.16,0.3318626,35,14609848000,34.299999237,17.8,12.334893263,52.797,0.5046594529,9,920.13759978,15.714570999,41.099998474,60.74
South Ossetia,,,,,,,,,,,,,,,
South Sudan,,,,,,,,,59.4,,,,,,
Spain,15461.758372,11.83,0.9795374,50.9,10822529667,41.700000763,0.4,65.808553672,81.404,1.6168591225,10,1779.50351,5.888479,52.5,77.12
Sri Lanka,1295.7426861,0.81,2.569643,23.6,253854333.33,39.200000763,0.06,11.999970662,74.941,,6,161.09346854,28.104045868,55.099998474,15.1
Sudan,523.95015149,2.56,0.969499,22.5,225019666.67,27.899999619,1.1,,61.452,,-4,50.892101383,9.7095556259,47.299999237,43.44
Suriname,2668.0205189,6.56,1.0584191,30,86317000,30.399999619,1,31.5680976,70.563,,,,20.747430801,44.700000763,74.92
Svalbard,,,,,,,,,,,,,,,
Swaziland,1810.2305326,5.05,,12.3,22704000,47.099998474,25.9,9.0077359091,48.718,,-9,,12.872221947,50.900001526,24.94
Sweden,32292.482984,9.5,0.3520917,87.8,4286590000,56.700000763,0.1,90.016190019,81.439,1.5458938022,10,4304.5144018,11.11583,60.700000763,84.54
Switzerland,37662.75125,11.41,0.52422,81.7,2406741333.3,57,0.4,82.166659877,82.338,1.4874121872,10,2361.0333363,13.23981,64.300003052,73.48
Syria,1525.7801159,1.49,5.9558471,44.8,1436893333.3,16.700000763,,20.663155681,75.85,,-7,815.03109089,0.5235275626,44.799999237,54.22
TANGANYIKA,,,,,,,,,,,,,,,
Taiwan,,,,,5248815000,47.099998474,,,,2.006514658,10,1831.7318483,,54.5,
Tajikistan,279.18045256,3.39,0.6048733,13.2,104170000,50.099998474,0.2,11.549390515,67.529,,-3,405.7753854,2.6489808559,54.599998474,26.46
Tanzania,456.38571165,7.86,0.1347296,21.1,100782000,76.099998474,5.6,11.00005544,58.199,,-1,38.634502982,12.41118145,78.199996948,25.52
Thailand,2712.5171987,7.08,1.0936515,16.6,4200940333.3,65,1.3,21.200071769,74.126,0.7262496753,4,439.58973176,9.8474597931,72,33.32
Timor-Leste,369.57295374,0.74,0.2342862,,850666.66667,54.700000763,,0.2100663256,62.475,,7,,9.6331148148,67.300003052,27.3
Togo,285.22444925,1.92,0.3400308,28.1,32233666.667,48.400001526,3.2,5.3798197147,57.062,,-4,66.238521932,6.3698878288,63.900001526,42
Tokelau,,,,,,,,,,,,,,,
Tonga,2025.2826649,3.92,,,2907666.6667,,,12.006692308,72.317,,,,4.5278515816,,24.78
Transnistria,,,,,,,,,,,,,,,
Trinidad And Tobago,,,,,878995333.33,,,,,,,,,,
Trinidad and Tobago,10480.817203,6.16,0.581165,51.1,,50.5,1.5,48.516817673,70.124,,10,2261.3167126,14.547166824,61.5,13.22
Tunisia,3164.9276933,1.05,1.266624,19.6,525891666.67,21.399999619,0.06,36.562552962,74.515,,-4,325.83956085,3.1468141079,41.599998474,66.5
Turkey,5348.5971919,3.02,2.3794147,22,5675629666.7,21.899999619,0.06,39.820177885,73.979,0.3944891108,7,550.6966103,3.5633246899,42.799999237,68.68
Turkmenistan,2062.1251524,5,0.9314175,17.9,531303666.67,53.900001526,,2.1999978183,64.986,1.1106714703,-9,351.16659407,12.216769218,58.5,48.62
Turks and Caicos Islands,,,,,,,,,,,,,,,
Tuvalu,1714.9428899,2.14,,,,,,25,,,,,7.9348115921,,
UNITED KOREA,,,,,,,,,,,,,,,
USSR,,,,,,,,,,,,,,,
Uganda,377.42111326,16.4,0.3445177,18.3,49793333.333,80,6.5,12.50025543,54.116,,-1,,12.289121628,83.199996948,12.98
Ukraine,1036.8307249,17.47,0.9311688,39.9,5584766000,49.400001526,1.1,44.58535469,68.494,0.2552349064,7,673.58486098,18.95457,54.400001526,67.98
United Arab Emirates,21087.394125,0.52,1.8124763,24.1,2315698000,37.299999237,,77.99678115,76.546,4.2999644554,-8,11154.755033,1.392950654,75.199996948,77.88
United Kingdom,28033.489283,13.24,0.5080181,87.2,72524250333,53.099998474,0.2,84.73170475,80.17,1.1880280942,10,1933.9456151,6.014659,59.299999237,89.94
United States,37491.179523,9.7,0.9723782,101.1,334220872333,56,0.6,74.247572004,78.531,2.7385436827,10,4542.848695,9.927033,62.299999237,81.7
Uruguay,9106.3272342,8.99,1.5793413,83.1,275744333.33,46,0.5,47.867468633,77.005,,10,823.82319754,14.53727,57.5,92.3
Ussr,,,,,,,,,,,,,,,
Uzbekistan,952.82726083,3.61,0.7096295,17.3,1718339333.3,52.599998474,0.1,19.445020547,68.287,0.1821845251,-9,261.4339532,5.21372,57.5,36.82
Vanuatu,1543.9564567,0.96,,24,2977333.3333,,,7.9883666667,71.017,,,,4.9834218025,,24.76
Venezuela,5528.3631139,7.6,0.9040245,34.3,5418886000,45.799999237,,35.850436956,74.402,1.2146367734,-3,969.00433876,4.11962,59.900001526,93.32
Vietnam,722.80755883,3.91,1.0853671,16.2,1425435000,67.599998474,0.4,27.851821556,75.181,,-7,302.72565466,11.65332222,71,27.84
Virgin Islands (U.S.),,,,,,,,,79.407,,,,,,94.86
Wallis et Futuna,,,,,110000,,,,,,,,,,
West Bank and Gaza,,,5.9360854,,14241333.333,11.300000191,,36.422771792,72.832,,,,,32,71.9
West Germany,,,,,,,,,,,,,,,
Western Sahara,,,,,6838333.3333,,,,67.301,,,,,,
YUGOSLAVIA (FORMER SOCIALIST FEDERAL REPUBLIC),,,,,,,,,,,,,,,
Yemen Arab Republic (Former),,,,,,,,,,,,,,,
Yemen Democratic (Former),,,,,,,,,,,,,,,
"Yemen, Rep.",610.35736732,0.2,2.3162346,35.1,234864666.67,20.299999237,,12.349750464,65.493,,-2,130.0578314,6.265789032,39,30.64
Yugoslavia,,,,,694279666.67,,,,,,,,,,
ZANZIBAR,,,,,,,,,,,,,,,
Zambia,432.22633697,3.56,0.3413352,13,132025666.67,53.5,13.5,10.124986462,49.025,,7,168.62303051,12.019036293,61,35.42
Zimbabwe,320.77188995,4.96,1.0327854,19,590219666.67,58.099998474,14.3,11.500415321,51.384,,1,297.88320041,13.905266762,66.800003052,37.34
Åland,,,,,,,,,,,,,,,
